name,city,district,coord,bc_type,road_cond,unit_rent,bound_rent,audit_date,transit_count,industrial_count,mall_count,hub_highway,hub_railway,hub_coach,hub_airport
高埗中心东路站,东莞,高埗镇,"113.755637,23.104047",一般区域,高优通达,700.0,600.0,2025-11-12,0,5,8,0,0,0,0
惠阳东方新城站,惠州,惠阳区,"114.428604,22.801489",一般区域,一般通达,500.0,550.0,2025-11-12,0,14,2,0,3,0,0
增城荔新大道站-MIIX,广州,增城区,"113.616649,23.137457",一般区域,高优通达,735.2941176470588,750.0,2025-11-19,3,6,17,0,0,0,0
小榄民安南路站-二选一,中山,小榄镇,"113.270754,22.647897",次级商圈,高优通达,650.0,650.0,2025-11-19,1,3,4,0,1,1,0
顺德岳步大道北站,佛山,顺德区,"113.14024,22.938857",次级商圈,一般通达,700.0,700.0,2025-11-19,2,2,0,0,0,0,0
厚街康乐南路,东莞,厚街镇,"113.669867,22.899907",次级商圈,高优通达,600.0,600.0,2025-11-19,2,3,9,0,3,0,0
横沥金马路站,东莞,横沥镇,"113.9492,23.025814",一般区域,一般通达,600.0,600.0,2025-11-24,0,6,3,0,0,0,0
三乡沙坦路站,中山,三乡镇,"113.456514,22.356245",次级商圈,高优通达,577.982,600.0,2025-11-24,0,7,8,0,0,0,0
小榄广源中路站,中山,小榄镇,"113.242191,22.642684",次级商圈,高优通达,600.0,600.0,2025-11-24,0,7,5,0,1,0,0
禅城文华公园站,佛山,禅城区,"113.13408,23.012169",核心商圈,高优通达,750.0,750.0,2025-11-24,5,6,20,0,0,0,0
荔湾水秀二路站,广州,荔湾区,"113.209092,23.081286",一般区域,高优通达,615.3846153846154,800.0,2025-11-24,1,6,3,2,1,1,0
天河岑村丰庄大街站,广州,天河区,"113.395843,23.157486",一般区域,一般通达,984.6153846153846,1300.0,2025-11-24,3,6,3,0,0,0,0
黄埔体育中心站,广州,黄埔区,"113.456636,23.114878",一般区域,一般通达,676.9230769230769,900.0,2025-11-24,4,5,11,0,2,0,0
天河车陂路站,广州,天河区,"113.39217,23.118861",次级商圈,高优通达,1230.7692307692307,1600.0,2025-11-24,5,1,20,0,0,0,0
广州塔站,广州,海珠区,"113.323774,23.100163",核心商圈,高优通达,1169.2307692307693,1500.0,2025-11-24,5,0,22,0,1,0,0
白云松南路站,广州,白云区,"113.221771,23.151173",一般区域,高优通达,861.5384615384615,1100.0,2025-11-24,7,4,15,0,0,0,0
海珠琶洲站,广州,海珠区,"113.358553,23.096499",次级商圈,一般通达,984.6153846153846,1300.0,2025-11-24,3,5,9,18,2,0,0
南海永安北路站,佛山,南海区,"113.214824,23.041245",一般区域,高优通达,650.0,650.0,2025-11-24,0,3,5,0,0,0,2
白云大源北路站,广州,白云区,"113.34992,23.275",一般区域,高优通达,800.0,800.0,2025-11-24,0,8,3,6,0,0,0
花都风神大道站-miix,广州,花都区,"113.155127,23.378345",次级商圈,高优通达,846.1538461538462,750.0,2025-12-03,1,7,0,0,4,0,0
南山沙河东路站,深圳,南山区,"113.959801,22.52628",次级商圈,高优通达,1500.0,1500.0,2025-12-03,0,0,14,0,0,0,0
花都空港大道站-miix,广州,花都区,"113.314824,23.424349",一般区域,高优通达,1076.923076923077,1000.0,2025-12-17,0,3,1,6,3,0,0
三乡谷都大道站-miix,中山,三乡镇,"113.471819,22.319396",一般区域,高优通达,676.9230769230769,650.0,2025-12-17,0,0,1,0,0,0,0
坪山秀新路站（Miix),深圳,坪山区,"114.377264,22.744069",一般区域,一般通达,923.0769230769231,700.0,2025-12-17,3,8,14,6,1,1,0
